id_1,id_2
457,2865
457,130
457,2245
457,2529
457,1432
457,2998
457,3110
457,2267
457,547
457,3128
457,2974
457,854
457,2085
457,2671
2865,457
2865,130
2865,2245
2865,2529
2865,1432
2865,2998
2865,3110
2865,2267
2865,547
2865,3128
2865,2974
2865,854
2865,2085
2865,2671
130,457
130,2865
130,2245
130,2529
130,1432
130,2998
130,3110
130,2267
130,547
130,3128
130,2974
130,854
130,2085
130,2671
2245,457
2245,2865
2245,130
2245,2529
2245,1432
2245,2998
2245,3110
2245,2267
2245,547
2245,3128
2245,2974
2245,854
2245,2085
2245,2671
2529,457
2529,2865
2529,130
2529,2245
2529,1432
2529,2998
2529,3110
2529,2267
2529,547
2529,3128
2529,2974
2529,854
2529,2085
2529,2671
1432,457
1432,2865
1432,130
1432,2245
1432,2529
1432,2998
1432,3110
1432,2267
1432,547
1432,3128
1432,2974
1432,854
1432,2085
1432,2671
2998,457
2998,2865
2998,130
2998,2245
2998,2529
2998,1432
2998,3110
2998,2267
2998,547
2998,3128
2998,2974
2998,854
2998,2085
2998,2671
3110,457
3110,2865
3110,130
3110,2245
3110,2529
3110,1432
3110,2998
3110,2267
3110,547
3110,3128
3110,2974
3110,854
3110,2085
3110,2671
2267,457
2267,2865
2267,130
2267,2245
2267,2529
2267,1432
2267,2998
2267,3110
2267,547
2267,3128
2267,2974
2267,854
2267,2085
2267,2671
547,457
547,2865
547,130
547,2245
547,2529
547,1432
547,2998
547,3110
547,2267
547,3128
547,2974
547,854
547,2085
547,2671
3128,457
3128,2865
3128,130
3128,2245
3128,2529
3128,1432
3128,2998
3128,3110
3128,2267
3128,547
3128,2974
3128,854
3128,2085
3128,2671
2974,457
2974,2865
2974,130
2974,2245
2974,2529
2974,1432
2974,2998
2974,3110
2974,2267
2974,547
2974,3128
2974,854
2974,2085
2974,2671
854,457
854,2865
854,130
854,2245
854,2529
854,1432
854,2998
854,3110
854,2267
854,547
854,3128
854,2974
854,2085
854,2671
2085,457
2085,2865
2085,130
2085,2245
2085,2529
2085,1432
2085,2998
2085,3110
2085,2267
2085,547
2085,3128
2085,2974
2085,854
2085,2671
2671,457
2671,2865
2671,130
2671,2245
2671,2529
2671,1432
2671,2998
2671,3110
2671,2267
2671,547
2671,3128
2671,2974
2671,854
2671,2085
2865,2267
2865,547
2865,2085
2865,2404
2865,1705
2865,2529
2865,3110
2865,2245
2865,3128
2865,2671
2267,2865
2267,547
2267,2085
2267,2404
2267,1705
2267,2529
2267,3110
2267,2245
2267,3128
2267,2671
547,2865
547,2267
547,2085
547,2404
547,1705
547,2529
547,3110
547,2245
547,3128
547,2671
2085,2865
2085,2267
2085,547
2085,2404
2085,1705
2085,2529
2085,3110
2085,2245
2085,3128
2085,2671
2404,2865
2404,2267
2404,547
2404,2085
2404,1705
2404,2529
2404,3110
2404,2245
2404,3128
2404,2671
1705,2865
1705,2267
1705,547
1705,2085
1705,2404
1705,2529
1705,3110
1705,2245
1705,3128
1705,2671
2529,2865
2529,2267
2529,547
2529,2085
2529,2404
2529,1705
2529,3110
2529,2245
2529,3128
2529,2671
3110,2865
3110,2267
3110,547
3110,2085
3110,2404
3110,1705
3110,2529
3110,2245
3110,3128
3110,2671
2245,2865
2245,2267
2245,547
2245,2085
2245,2404
2245,1705
2245,2529
2245,3110
2245,3128
2245,2671
3128,2865
3128,2267
3128,547
3128,2085
3128,2404
3128,1705
3128,2529
3128,3110
3128,2245
3128,2671
2671,2865
2671,2267
2671,547
2671,2085
2671,2404
2671,1705
2671,2529
2671,3110
2671,2245
2671,3128
2865,2529
2865,2245
2865,547
2865,2085
2865,3128
2865,3110
2865,2671
2529,2865
2529,2245
2529,547
2529,2085
2529,3128
2529,3110
2529,2671
2245,2865
2245,2529
2245,547
2245,2085
2245,3128
2245,3110
2245,2671
547,2865
547,2529
547,2245
547,2085
547,3128
547,3110
547,2671
2085,2865
2085,2529
2085,2245
2085,547
2085,3128
2085,3110
2085,2671
3128,2865
3128,2529
3128,2245
3128,547
3128,2085
3128,3110
3128,2671
3110,2865
3110,2529
3110,2245
3110,547
3110,2085
3110,3128
3110,2671
2671,2865
2671,2529
2671,2245
2671,547
2671,2085
2671,3128
2671,3110
2085,2865
2085,2671
2865,2085
2865,2671
2671,2085
2671,2865
2865,457
2865,2085
2865,2529
2865,2671
457,2865
457,2085
457,2529
457,2671
2085,2865
2085,457
2085,2529
2085,2671
2529,2865
2529,457
2529,2085
2529,2671
2671,2865
2671,457
2671,2085
2671,2529
1619,2087
1619,712
1619,2085
1619,2529
1619,1066
1619,2727
1619,2035
1619,549
1619,457
2087,1619
2087,712
2087,2085
2087,2529
2087,1066
2087,2727
2087,2035
2087,549
2087,457
712,1619
712,2087
712,2085
712,2529
712,1066
712,2727
712,2035
712,549
712,457
2085,1619
2085,2087
2085,712
2085,2529
2085,1066
2085,2727
2085,2035
2085,549
2085,457
2529,1619
2529,2087
2529,712
2529,2085
2529,1066
2529,2727
2529,2035
2529,549
2529,457
1066,1619
1066,2087
1066,712
1066,2085
1066,2529
1066,2727
1066,2035
1066,549
1066,457
2727,1619
2727,2087
2727,712
2727,2085
2727,2529
2727,1066
2727,2035
2727,549
2727,457
2035,1619
2035,2087
2035,712
2035,2085
2035,2529
2035,1066
2035,2727
2035,549
2035,457
549,1619
549,2087
549,712
549,2085
549,2529
549,1066
549,2727
549,2035
549,457
457,1619
457,2087
457,712
457,2085
457,2529
457,1066
457,2727
457,2035
457,549
2103,2085
2085,2103
3076,2085
3076,1279
3076,2100
2085,3076
2085,1279
2085,2100
1279,3076
1279,2085
1279,2100
2100,3076
2100,2085
2100,1279
2868,2085
2085,2868
2865,556
2865,457
2865,2085
2865,3128
2865,2529
2865,3110
2865,2245
2865,2671
556,2865
556,457
556,2085
556,3128
556,2529
556,3110
556,2245
556,2671
457,2865
457,556
457,2085
457,3128
457,2529
457,3110
457,2245
457,2671
2085,2865
2085,556
2085,457
2085,3128
2085,2529
2085,3110
2085,2245
2085,2671
3128,2865
3128,556
3128,457
3128,2085
3128,2529
3128,3110
3128,2245
3128,2671
2529,2865
2529,556
2529,457
2529,2085
2529,3128
2529,3110
2529,2245
2529,2671
3110,2865
3110,556
3110,457
3110,2085
3110,3128
3110,2529
3110,2245
3110,2671
2245,2865
2245,556
2245,457
2245,2085
2245,3128
2245,2529
2245,3110
2245,2671
2671,2865
2671,556
2671,457
2671,2085
2671,3128
2671,2529
2671,3110
2671,2245
789,2258
789,2210
789,1076
789,1891
789,2085
789,1046
789,3147
789,1606
2258,789
2258,2210
2258,1076
2258,1891
2258,2085
2258,1046
2258,3147
2258,1606
2210,789
2210,2258
2210,1076
2210,1891
2210,2085
2210,1046
2210,3147
2210,1606
1076,789
1076,2258
1076,2210
1076,1891
1076,2085
1076,1046
